title,artists,date,rank,peak,total weeks,lyrics,info,Sentiment
Passionfruit,Drake,04/02/2017,8,8,0,"Hold on, hold on, fuck that
Fuck that shit
Hold on, I got to start this mothafuckin' record over again, wait a minute
Fuck that shit
Still on this mothafuckin' record
I'ma play this mothafucka for y'all
Ay, y'all get some more drinks goin' on, I'll sound a whole lot better

Listen, seeing you got ritualistic
Cleansin' my soul of addiction for now
'Cause I'm fallin' apart, yeah
Tension between us just like picket fences
You got issues that I won't mention for now
'Cause we're fallin' apart

Passionate from miles away
Passive with the things you say
Passin' up on my old ways
I can't blame you, no, no
Passionate from miles away
Passive with the things you say
Passin' up on my old ways
I can't blame you, no, no

Listen, hard at buildin' trust from a distance
I think we should rule out commitment for now
'Cause we're fallin' apart
Leavin', you're just doing that to get even
Don't pick up the pieces, just leave it for now
They keep fallin' apart

Passionate from miles away
Passive with the things you say
Passin' up on my old ways
I can't blame you, no, no
Passionate from miles away
Passive with the things you say
Passin' up on my old ways
I can't blame you, no, no

Trying to think of the right thing to say",Passionfruit+Drake,0
Portland,Drake Featuring Quavo & Travis Scott,04/02/2017,9,9,0,"Murda on the beat, so it's not nice
Yeah
It's all Habibis ting, ya?

Yeah, my side girl got a 5S with the screen cracked
Still hit me back right away, better not never hesitate
Don't come around thinkin' you gettin' saved
Tryna show the dogs brighter days
Got a torch, tryna light the way
Bitin' everybody, which is ironic 'cause your next album probably won't ever see the light of day
Have fans but you let 'em down
But I guess that's how you niggas gettin' down
I'm so high up I'm like, ""How is niggas really gettin' down?""
I could never have a kid, then be out here still kiddin' around
Boys playin' around, where you really wanna take it now?
I got a hundred fifty thousand dollars for an after party
And I gave it to the killas just to break it down
Bring us up, I never take us down
But if you bring me up, then they might take you down
Fake fuck with me back then
But it's gettin' hard for you to fake it now
Fuck bein' rich when I'm forty, man, I'm tryna make it now

Hell nah
Never let these niggas ride your wave
Nope, no way, nah
Never let these niggas ride your wave
Nope, no way, nah
Park the Benz just to the ride the Wraith
Skrrt, skrrt
Ten million dollars, gotta hide the safe
Skrrt, skrrt, oh
Michael Phelps with the swim moves
Skrrt, skrrt, oh
Michael Jordan with the tennis shoes
Skrrt, skrrt

(Quavo) Young nigga, I invented you
Ike Turner with the left hand
Griselda Blanco with the trap moves
Gangland with the right hand
Undertaker with the tattoos
Never listen to the class rules
Switch it up would be the last move (Let's go!)
I'm a magnet for bad bitches (magnet)
You got the going out sad bitches
I spent a fifty on the chain (racks)
You spent your last fifty (ugh, cash)
I got the keys to the streets (keys)
You got the key to defeat (defeated)
I got the keys to the warzone (brrrapt)
You got the key to the bees (ugh)

Hell nah
Never let these niggas ride your wave
Nope, no way, nah
Never let these niggas ride your wave
Nope, no way, nah
Park the Benz just to ride the Wraith
Skrrt, skrrt
Ten million dollars, gotta hide the safe

We gon' go live, we gon' go live, yep
We gon' go live, we gon' go live, yep
Gettin' loose, off the Henny rock, and a hint of Goose
Ocean deep in my swimmin' pool
Throwin' Dead Prez in my livin' room
Takin' shots, feelin' bulletproof
Flood my rollie, told my bitch, ""Let's go snorkelin'!""
Out in Portland, tryna get in her organs
No, I did not sign with Jay, but I still send a Tidal wave
(Yeah) I might just go get the fade
Buy the du-rag and just tie the waves
It's lit at the crib, you could stay
Me and Drake kick like Kid N' Play
The way that she servin' that cake, I gotta sit back and digest
I guess, fuck the fuck-shit, I'm biased
I mix, double the cup when I'm stressed
Got my momma out the basement
That's a different type of face lift
Free Max B out the bracelets
Don't hit us askin' what the wave is

Hell nah
Never let these niggas ride your wave
Nope, no way, nah
Never let these niggas ride your wave
Nope, no way, nah
Park the Benz just to the ride the Wraith
Skrrt, skrrt
Ten million dollars, gotta hide the safe
Skrrt, skrrt, oh
Michael Phelps with the swim moves
Skrrt, skrrt, oh
Michael Jordan with the tennis shoes
Skrrt, skrrt, oh
Michael Phelps with the swim moves
Skrrt, skrrt, oh
Michael Jordan with the tennis shoes",Portland+Drake Featuring Quavo & Travis Scott,0
Humble.,Kendrick Lamar,04/16/2017,2,2,0,"Nobody pray for me
Even a day for me
Way (yeah, yeah)

Aye, I remember syrup sandwiches and crime allowances
Finesse a nigga with some counterfeits
But now I'm countin' this
Parmesan where my accountant lives
In fact, I'm downin' this
D'ussé with my boo bae, tastes like Kool-Aid for the analysts

Girl, I can buy yo' ass the world with my pay stub
Ooh, that pussy good, won't you sit it on my taste bloods?
I get way too petty once you let me do the extras
Pull up on your block, then break it down: we playin' Tetris

A.M. to the P.M., P.M. to the A.M., funk
Piss out your per diem, you just gotta hate 'em, funk
If I quit your BM, I still ride Mercedes, funk
If I quit this season, I still be the greatest, funk

My left stroke just went viral
Right stroke put lil' baby in a spiral
Soprano C, we like to keep it on a high note
It's levels to it, you and I know, bitch, be humble

(Hol' up, bitch) Sit down
(Hol' up lil' bitch, hol' up lil' bitch) Be humble
(Hol' up, bitch) Sit down
(Sit down, hol' up, lil' bitch)
Be humble (bitch)
(Hol' up, hol' up, hol' up, hol' up) Bitch, sit down
Lil' bitch (hol' up, lil' bitch) Be humble
(Hol' up, bitch) Sit down
(Hol' up, hol' up, hol' up, hol' up) Be humble
(Hol' up, hol' up, hol' up, hol' up, lil' bitch) Sit down
(Hol' up lil' bitch) Be humble
(Hol' up, bitch) Sit down
(Hol' up, sit down, lil' bitch)
(Sit down, lil' bitch, be humble)
(Hol' up, hol' up, hol' up, hol' up, lil' bitch) Bitch, sit down
(Hol' up, bitch) Be humble
(Hol' up, bitch) Sit down
(Hol' up, hol' up, hol' up, hol' up)

Who dat nigga thinkin' that he frontin' on man, man? (Man, man)
Get the fuck off my stage, I'm the Sandman (Sandman)
Get the fuck off my dick, that ain't right
I make a play fucking up your whole life

I'm so fuckin' sick and tired of the Photoshop
Show me somethin' natural like afro on Richard Pryor
Show me somethin' natural like ass with some stretch marks
Still will take you down right on your mama's couch in Polo socks

Aye, this shit way too crazy, aye, you do not amaze me
Aye, I blew cool from AC, aye, Obama just paged me
Aye, I don't fabricate it, aye, most of y'all be fakin'
Aye, I stay modest 'bout it, aye, she elaborate it, aye
This that Grey Poupon, that Evian, that TED Talk

Aye, watch my soul speak, you let the meds talk
Aye, if I kill a nigga, it won't be the alcohol
Aye, I'm the realest nigga after all, bitch
Be humble

(Hol' up, bitch) Sit down
(Hol' up lil' bitch, hol' up lil' bitch) Be humble
(Hol' up, bitch) Sit down
(Sit down, hol' up, lil' bitch)
Be humble (bitch)
(Hol' up, hol' up, hol' up, hol' up) Bitch, sit down
Lil' bitch (hol' up, lil' bitch) Be humble
(Hol' up, bitch) Sit down
(Hol' up, hol' up, hol' up, hol' up) Be humble
(Hol' up, hol' up, hol' up, hol' up, lil' bitch) Sit down
(Hol' up lil' bitch) Be humble
(Hol' up, bitch) Sit down
(Hol' up, sit down, lil' bitch)
(Sit down, lil' bitch, be humble)
(Hol' up, hol' up, hol' up, hol' up, lil' bitch) Bitch, sit down
(Hol' up, bitch) Be humble
(Hol' up, bitch) Sit down
(Hol' up, hol' up, hol' up, hol' up)",Humble.+Kendrick Lamar,1
Body Like A Back Road,Sam Hunt,04/16/2017,6,6,10,"Got a girl from the south side, got braids in her hair
First time I seen her walk by, man I 'bout fell off my chair
Had to get her number, it took me like six weeks
Now me and her go way back like Cadillac seats

Body like a back road, drivin' with my eyes closed
I know every curve like the back of my hand
Doin' 15 in a 30, I ain't in no hurry
I'ma take it slow just as fast as I can

The way she fit in them blue jeans, she don't need no belt
But I can turn them inside out, I don't need no help
Got hips like honey, so thick and so sweet
It ain't no curves like hers on them downtown streets

Body like a back road, drivin' with my eyes closed
I know every curve like the back of my hand
Doin' 15 in a 30, I ain't in no hurry
I'ma take it slow just as fast as I can

We're out here in the boondocks
With the breeze and the birds
Tangled up in the tall grass
With my lips on hers
On the highway to heaven
Headed south of her smile
Get there when we get there
Every inch is a mile

Body like a back road, drivin' with my eyes closed
I know every curve like the back of my hand
Doin' 15 in a 30, I ain't in no hurry
I'ma take it slow just as fast as I can

I'ma take it slow
Just as fast as I can
(Body like a back road
Drivin' with my eyes closed
I know every curve like the back of my hand)",Body Like A Back Road+Sam Hunt,0
Sign Of The Times,Harry Styles,04/23/2017,4,4,0,"Just stop your crying
It's a sign of the times
Welcome to the final show
Hope you're wearing your best clothes
You can't bribe the door on your way to the sky
You look pretty good down here
But you ain't really good

If we never learn, we been here before
Why are we always stuck and running from
The bullets?
The bullets
We never learn, we been here before
Why are we always stuck and running from
The bullets?
The bullets

Just stop your crying
It's a sign of the times
We gotta get away from here
We gotta get away from here
Just stop your crying
It will be all right
They told me that the end is near
We gotta get away from here

Just stop crying
Have the time of your life
Breaking through the atmosphere
And things are pretty good from here
Remember everything will be all right
We can meet again somewhere
Somewhere far away from here

If we never learn, we been here before
Why are we always stuck and running from
The bullets?
The bullets
We never learn, we been here before
Why are we always stuck and running from
The bullets?
The bullets

Just stop your crying
It's a sign of the times
We gotta get away from here
We gotta get away from here
Just stop your crying
Baby it will be all right
They told me that the end is near
We gotta get away from here

If we never learn, we been here before
Why are we always stuck and running from
The bullets?
The bullets
We never learn, we been here before
Why are we always stuck and running from
The bullets?
The bullets

We don't talk enough
We should open up
Before it's all too much
Will we ever learn?
We've been here before
It's just what we know

Stop your crying baby
It's a sign of the times
We gotta get away
We got to get away
We got to get away
We got to get away
We got to get away
We got to, we got to
We got to, we got to
We got to, we got to",Sign Of The Times+Harry Styles,0
Mask Off,Future,04/23/2017,7,7,8,"Call it how it is
Hendrix
I promise, I swear I swear
Spit it
Yo

Percocets
Molly, Percocets
Percocets
Molly, Percocets
Rep the set
Gotta rep the set
Chase a check
Never chase a bitch
Mask on
Fuck it, mask off
Mask on
Fuck it, mask off
Percocets
Molly, Percocets
Chase a check
Never chase a bitch

Two cups
Toast up with the gang
From food stamps
To a whole nother domain
Out the bottom
I'm a living proof
They compromising
Half a million on the coupe
Drug houses
Looking like Peru
Graduated
I was overdue
Pink molly
I can barely move
Ask about me
I'm going bust a move
Rick James
33 chains
Old Chanel
Crusing Biscayne
Top off
That's a liability
Hit the gas
Boosting my adrenaline

Percocets
Molly, Percocets
Percocets
Molly, Percocets
Rep the set
Gotta rep the set
Chase a check
Never chase a bitch
Mask on
Fuck it, mask off
Mask on
Fuck it, mask off
Percocets
Molly, Percocets
Chase a check
Never chase a bitch

Before the Maybach
I'd drive anything
Buy my Range
Make 'em go insane
My guillotine
Drank promethazine
Tek and beams
Go to those extremes
Parliament
Call up Mari wins
Parlay in Vegas
We was in attendance
Before the business
Theodore lenses
Whole prescriptions
Focus on the missions
Intermission
Never take a break
Switch states
Touch down, foreign plates
Ain't no way
Ain't no fucking way
You come to play
We didn't come to play
Rob the bank
We gone rob the game
They gang, we gang
But they are not the same

Percocets
Molly, Percocets
Percocets
Molly, Percocets
Rep the set
Gotta rep the set
Chase a check
Never chase a bitch
Mask on
Fuck it, mask off
Mask on
Fuck it, mask off
Percocets
Molly, Percocets
Chase a check
Never chase a bitch

Mask on
Fuck it, mask off
Mask on
Fuck it, mask off
Mask on
Fuck it, mask off
Gas gone
Never nod huh",Mask Off+Future,0
XO TOUR Llif3,Lil Uzi Vert,04/23/2017,8,8,3,"Are you all right?
I'm all right, I'm quite all right
And my money's right
8... (yeah)
Countin' them bands all way to the top, till they be fallin' over
Countin' them bands, on the way to the top, till it's fallin' over

I don't really care if you cry
On the real you should've never lied
Should've saw the way she looked me in my eyes
She said, ""Baby, I am not afraid to die""
Push me to the edge
All my friends are dead
Push me to the edge
All my friends are dead
Push me to the edge
All my friends are dead
Push me to the edge

Phantom that's all red
Inside all white
Like somethin' you ride a sled down
I just want that head
My Brittany got mad
I'm barely her man now
Everybody got the same swag now
Watch the way, shit, I tear it down
Stackin' my bands all the way to the top
All the way till my bands fallin' over
Every time that you leave your spot
Your girlfriend call me like, ""Come on over""
I like the way that she treat me
Gon' leave you, won't leave me
I call it that Casanova
She say I'm insane, yeah
I might blow my brains out
Xanny help the pain, yeah
Please, Xanny make it go away
I'm committed, not addicted, but it keep control of me
All the pain, now I can't feel it, I swear that it's slowin' me, yeah

I don't really care if you cry
On the real, you should've never lied
Saw the way she looked me in my eyes
She said ""I am not afraid to die""
All my friends are dead
Push me to the edge
All my friends are dead, yeah
Push me to the edge
All my friends are dead, yeah
All my friends are dead, yeah

That is not your swag, I swear you fakin'
Now these niggas wanna take my cadence
Rain on 'em, thunderstorm, rain on 'em
Medicine, lil' nigga take some
Fast car, Nascar, race on 'em
In the club, ain't got no one's, then we would become
Clothes from overseas
Got the racks and they all C-Notes
You is not a G, though
Lookin' at you stackin' all your money, it all green though
I was countin' that and these all twenties, that's a G-roll

She say, ""You're the worst; you're the worst""
I cannot die, nigga, this my universe

I don't really care if you cry
On the real, you should've never lied
Should've saw the way she looked me in my eyes
She said, ""Baby, I am not afraid to die""
Push me to the edge
All my friends are dead
Push me to the edge
All my friends are dead
Push me to the edge
All my friends are dead
Push me to the edge",XO TOUR Llif3+Lil Uzi Vert,0
DNA.,Kendrick Lamar,04/30/2017,4,4,0,"I got, I got, I got, I got
Loyalty, got royalty inside my DNA
Cocaine quarter piece, got war and peace inside my DNA
I got power, poison, pain, and joy inside my DNA
I got hustle though, ambition, flow, inside my DNA
I was born like this, since one like this
Immaculate conception
I transform like this, perform like this
Was Yeshua's new weapon
I don't contemplate, I meditate, then off your fucking head
This that put-the-kids-to-bed
This that I got, I got, I got, I got
Realness, I just kill shit 'cause it's in my DNA
I got millions, I got riches buildin' in my DNA
I got dark, I got evil, that rot inside my DNA
I got off, I got troublesome, heart inside my DNA
I just win again, then win again like Wimbledon, I serve
Yeah, that's him again, the sound that engine in is like a bird
You see fireworks and Corvette tire skrrt the boulevard
I know how you work, I know just who you are
See, you's a, you's a, you's a-
Bitch, your hormones prolly switch inside your DNA
Problem is, all that sucker shit inside your DNA
Daddy prolly snitched, heritage inside your DNA
Backbone don't exist, born outside a jellyfish, I gauge
See, my pedigree most definitely don't tolerate the front
Shit I've been through prolly offend you
This is Paula's oldest son
I know murder, conviction
Burners, boosters, burglars, ballers, dead, redemption
Scholars, fathers dead with kids
And I wish I was fed forgiveness
Yeah, yeah, yeah, yeah, soldier's DNA
Born inside the beast
My expertise checked out in second grade
When I was 9, on cell, motel, we didn't have nowhere to stay
At 29, I've done so well, hit cartwheel in my estate
And I'm gon' shine like I'm supposed to
Anti-social, extrovert
And excellent mean the extra work
And absentness what the fuck you heard
And pessimists never struck my nerve
And that's a riff, gonna plead this case
The reason my power's here on Earth
Salute the truth, when the prophet say

I got loyalty, got royalty inside my DNA
This is why I say that hip hop has done more damage to young African Americans than racism in recent years
I got loyalty, got royalty inside my DNA
I live a better life, I'm rollin' several dice, fuck your life
I got loyalty, got royalty inside my DNA
I live a better, fuck your life
5, 4, 3, 2, 1
This is my heritage, all I'm inheritin'
Money and power, the makin' of marriages

Tell me somethin'
You motherfuckers can't tell me nothin'
I'd rather die than to listen to you
My DNA not for imitation
Your DNA an abomination
This how it is when you're in the Matrix
Dodgin' bullets, reapin' what you sow
And stackin' up the footage, livin' on the go
And sleepin' in a villa
Sippin' from a Grammy walkin' in the buildin'
Diamond in the ceilin', marble on the floors
Beach inside the window, peekin' out the window
Baby in the pool, godfather goals
Only Lord knows, I've been goin' hammer
Dodgin' paparazzi, freakin' through the cameras
Eat at Four Daughters, Brock wearin' sandals
Yoga on a Monday, stretchin' to Nirvana
Watchin' all the snakes, curvin' all the fakes
Phone never on, I don't conversate
I don't compromise, I just penetrate
Sex, money, murder, these are the breaks
These are the times, level number 9
Look up in the sky, 10 is on the way
Sentence on the way, killings on the way
Motherfucker, I got winners on the way
You ain't shit without a body on your belt
You ain't shit without a ticket on your plate
You ain't sick enough to pull it on yourself
You ain't rich enough to hit the lot and skate
Tell me when destruction gonna be my fate
Gonna be your fate, gonna be our faith
Peace to the world, let it rotate
Sex, money, murder, our DNA",DNA.+Kendrick Lamar,0
I'm The One,"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",05/14/2017,1,1,1,"DJ Khaled
We the best music! Another one!
DJ Khaled!

Justin Bieber (DJ Khaled)
Yeah, you're lookin' at the truth
The money never lie, no
I'm the one, yeah, I'm the one
Early mornin' in the dawn
Know you wanna ride now (let's ride, let's ride)
I'm the one, yeah, I'm the one, yeah

And you sick of all those other imitators
Don't let the only real one intimidate cha
See you watchin', don't run outta time now
I'm the one, yeah

Oh-eh-oh-oh-oh, eh-oh
I'm the one
Oh-eh-oh-oh-oh, eh-oh
I'm the only one
Oh-eh-oh-oh-oh, eh-oh
I'm the one
Oh-eh-oh-oh-oh, eh-oh
I'm the only one

Quavo
Yeah, yeah, Quavo
I'm the one that hit that same spot (hit it)
She the one that bring them rain drops (rain drops)
We go back, remember criss-cross and hopscotch? (hopscotch)
You the one that hold me down when the block's hot (hot)

I make your dreams come true when you wake up (dream)
And your look's just the same without no make-up
Had to pull up on your mama, see what you're made of (mama)
Ain't gotta worry 'bout them commas 'cause my cake up

You can run inside my life from that fame bus
'Cause I promise when we step out you'll be famous
Modern day Bonnie and Clyde what they named us
'Cause when we pull up (prr prr) all angles

Justin Bieber (DJ Khaled)
Yeah, you're lookin' at the truth
The money never lie, no
I'm the one, yeah, I'm the one
Early mornin' in the dawn
Know you wanna ride now (let's ride, let's ride)
I'm the one, yeah, I'm the one, yeah

And you sick of all those other imitators
Don't let the only real one intimidate ya
See you watchin', don't run outta time now
I'm the one, yeah

Oh-eh-oh-oh-oh, eh-oh
I'm the one
Oh-eh-oh-oh-oh, eh-oh
I'm the only one
Oh-eh-oh-oh-oh, eh-oh
I'm the one
Oh-eh-oh-oh-oh, eh-oh
I'm the only one

Chance
Okay, though
Uh, she beat her face up with that new Chanel
She like the price, she see the ice, it make her coochie melt
When I met her in the club I asked her who she felt
Then she went and put that booty on that Gucci belt, ha

We don't got no label
She say she want bottles, she ain't got no table
She don't got no bed frame, she don't got no tables
We just watchin' Netflix, she ain't got no cable, okay though

Plug, plug, plug, I'm the plug for her
She want a nigga that pull her hair and hold the door for her
Baby, that's only me, bitch, it okay with me
Baby, okay, okay though

Justin Bieber (DJ Khaled)
Yeah, you're lookin' at the truth
The money never lie, no
I'm the one, yeah, I'm the one
Early mornin' in the dawn
Know you wanna ride now (let's ride, let's ride)
I'm the one, yeah, I'm the one, yeah

And you sick of all those other imitators
Don't let the only real one intimidate ya
See you watchin', don't run outta time now
I'm the one, yeah

Oh-eh-oh-oh-oh, eh-oh
I'm the one
Oh-eh-oh-oh-oh, eh-oh
I'm the only one
Oh-eh-oh-oh-oh, eh-oh
I'm the one
Oh-eh-oh-oh-oh, eh-oh
I'm the only one

Li'l Wayne
Lookin' for the one? Well, bitch, you're lookin' at the one
I'm the best yet, and yet my best is yet to come
'Cause I've been lookin' for somebody
Not just any fuckin' body
Don't make me catch a body
That's for any and everybody

Oh my God! She hit me up all day, get no response
Bitch, you blow my high, that's like turnin' gold to bronze
Roll my eyes
And when she on the molly she a zombie
She think we Clyde and Bonnie
But it's more like Whitney / Bobby

God, forgive me
Tunechi F finessin', I'm a legend
Straight up out The Crescent
Fly your bae down for the Essence
For the record I knew Khaled when that boy was spinnin' records
Guilderberg gang winnin' record
I'm just flexin' on my exes, oh God

Justin Bieber (DJ Khaled)
Yeah, you're lookin' at the truth
The money never lie, no
I'm the one, yeah, I'm the one
Early mornin' in the dawn
Know you wanna ride now (let's ride, let's ride)
I'm the one, yeah, I'm the one, yeah

And you sick of all those other imitators
Don't let the only real one intimidate ya
See you watchin', don't run outta time now
I'm the one, yeah

Oh-eh-oh-oh-oh, eh-oh
I'm the one
Oh-eh-oh-oh-oh, eh-oh
I'm the only one
Oh-eh-oh-oh-oh, eh-oh
I'm the one
Oh-eh-oh-oh-oh, eh-oh
I'm the only one

Everybody (DJ Khaled)
(Another one)
Don't you know, girl, don't you know, girl
I am the one for you (I'm the one) yeah, I'm the one
Don't you know, girl, don't you know, girl
I am the one for you (I'm the one) yeah, I'm the one
Don't you know, girl, don't you know, girl
I am the one for you (I'm the one) yeah, I'm the one
Don't you know, girl, don't you know, girl
I am the one for you (I'm the one) yeah, I'm the one","I'm The One+DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",1
Malibu,Miley Cyrus,05/28/2017,10,10,2,"I never came to the beach, or stood by the ocean
I never sat by the shore, under the sun with my feet in the sand
But you brought me here and I'm happy that you did
'Cause now I'm as free as birds catching the wind
I always thought I would sink, so I never swam
I never went boatin', don't get how they are floatin'
And sometimes I get so scared of what I can't understand

But here I am, next to you
The skies so blue in Malibu
Next to you in Malibu
Next to you

We watched the sun go down as we were walking
I'd spent the rest of my life standing here talking
You would explain the current, as I try to smile
Hoping I just stay the same, and nothing will change
And it'll be us, just for a while
Do we even exist?
That's when I make the wish, to swim away with the fish
Is it supposed to be this hot all summer long?
I never would've believed you if three years ago you told me
I'd be here writing this song

But here I am, next to you
The skies so blue in Malibu
Next to you in Malibu
Next to you
Next to you
The skies so blue in Malibu
Next to you

We are just like the waves that flow back and forth
Sometimes I feel like I'm drowning
And you're there to save me
And I wanna thank you with all of my heart
It's a brand new start
A dream come true in Malibu",Malibu+Miley Cyrus,0
Congratulations,Post Malone Featuring Quavo,06/11/2017,10,10,23,"No-nah-nah
Yeah-yeah
No-nah-nah
Yeah

My mama called, seen you on TV
Said some shit done changed
Ever since we was on
I dreamed it all
Ever since I was young
They said I wouldn't be nothing
Now they always say congratulations
Worked so hard, forgot how to vacation
They ain't never had the dedication
People hatin', say we changed and look we made it
Yeah, we made it

They was never friendly
Now I'm jumping out the Bentley
And I know I sound dramatic, yeah
But I know I had to have it, yeah
For the money I'm a savage, yeah
I be itching like I had it, yeah
I'm surrounded 20 bad bitches
But they didn't know me last year, yeah
Everyone wanna act like they important, yeah-yeah-yeah
But all that mean nothing when I saw my dog, yeah-yeah-yeah
Everyone counting on me, drop the ball, yeah-yeah-yeah
Everything costing like I'm at the bottom, yeah-yeah
If you fuck with winning, put your lighters to the sky
How could I make sense when I got millions on my mind
Coming with that bullshit, I just put it to the side
Balling since a baby they could see it in my eyes

My mama called, seen you on TV
Said some shit done changed
Ever since we was on
I dreamed it all
Ever since I was young
They said I wouldn't be nothing
Now they always say congratulations
Worked so hard, forgot how to vacation
They ain't never had the dedication
People hatin', say we changed and look we made it
Yeah, we made it

I was patient, yeah-oh
I was patient, ay-oh
Now I can scream that we made it
Now everywhere-everywhere I go they say 'gratulations
Young nigga, young nigga, graduation
I pick up the rock and I ball, baby
I'm looking for someone to call, baby
But right now I got a situation
Nothing but old Ben-Ben Franklins
Big rings, champagne
My life is like a ball game
But instead I'm in the trap though
Pot so big, call it Super Bowl
Super Bowl, call the hoes, get in the Rolls
Top floor lifestyle, Honcho and Post
Malone, I got a play on my phone, ay
You know what I'm on
Huncho Houdini is gone, ay

My mama called, seen you on TV
Said some shit done changed
Ever since we was on
I dreamed it all
Ever since I was young
They said I wouldn't be nothing
Now they always say congratulations
Worked so hard, forgot how to vacation
They ain't never had the dedication
People hatin', say we changed and look we made it
Yeah, we made it

Hey, hey
Hey, hey",Congratulations+Post Malone Featuring Quavo,1
Believer,Imagine Dragons,07/09/2017,6,6,21,"First things first
I'mma say all the words inside my head
I'm fired up and tired of the way that things have been, oh-ooh
The way that things have been, oh-ooh

Second thing second
Don't you tell me what you think that I can be
I'm the one at the sail, I'm the master of my sea, oh-ooh
The master of my sea, oh-ooh

I was broken from a young age
Taking my sulking to the masses
Write down my poems for the few
Who looked at me took to me, shook to me, feeling me
Singing from heartache from the pain
Take up my message from the veins
Speaking my lesson from the brain
Seeing the beauty through the

Pain
You made me a, you made me a believer, believer
Pain
You break me down, you build me up, believer, believer
Pain
Oh let the bullets fly, oh let them rain
My life, my love, my god, they came from
Pain
You made me a, you made me a believer, believer

Third things third
Send a prayer to the ones up above
All the hate that you've heard has turned your spirit to a dove, oh-ooh
Your spirit up above, oh-ooh

I was choking in the crowd
Living my brain up in the cloud
Falling like ashes to the ground
Hoping my feelings, they would drown
But they never did, ever lived, ebbing and flowing
Inhibited, limited
Till it broke up and it rained down
It rained down, like

Pain
You made me a, you made me a believer, believer
Pain
You break me down, you built me up, believer, believer
Pain
Oh let the bullets fly, oh let them rain
My life, my love, my god, they came from
Pain
You made me a, you made me a believer, believer

Last things last
By the grace of the fire and the flames
You're the face of the future, the blood in my veins, oh-ooh
The blood in my veins, oh-ooh

But they never did, ever lived, ebbing and flowing
Inhibited, limited
Till it broke up and it rained down
You rained down, like

Pain
You made me a, you made me a believer, believer
Pain
You break me down, you built me up, believer, believer
Pain
I let the bullets fly, oh let them rain
My life, my love, my god, they came from
Pain
You made me a, you made me a believer, believer",Believer+Imagine Dragons,0
Unforgettable,French Montana Featuring Swae Lee,07/16/2017,10,10,13,"It's not good enough for me, since I been with you
It's not gonna work for you, nobody can equal me, I know
I'm gonna sip on this drink, when I'm fucked up
I should know how to pick up
I'm gonna catch the rhythm while she push up against me
Ooh, is she tipsy?
I had enough convo for twenty four
I peep'd you from across the room
Pretty little body, dancing like GoGo

But you are unforgettable
I need to get you alone, why not?
A fucking good time, never hurt nobody
I got a little drink but it's not Bacardi
If you loved your girl then I'm so, so sorry
I got to give it to her like we in a marriage
Oh, like we in a hurry
No, no I won't tell nobody
You're on your level too
Tryna do what lovers do

Feelin' like I'm fresh out; Boosie
If they want the drama, got the Uzi
Ship the whole crew to the cruise ship
Doin' shit you don't even see in movies
Ride with me, ride with me, boss
I got a hard head but her ass soft
She want the last name with the ring on it
'Cause I pulled out a million cash, told her plank on it

You are unforgettable
I need to get you alone
Now you wanna choose
Just pop the bubbly in the 'cuzi

It's not good enough for me, since I been with you
It's not gonna work for you, nobody can equal me, I know
I'm gonna sip on this drink, when I'm fucked up
I should know how to pick up
I'm gonna catch the rhythm while she push up against me
Ooh, is she tipsy?
I had enough convo for twenty four
I peep'd you from across the room
Pretty little body, dancing like GoGo

But you are unforgettable
I need to get you alone
Why not?
A fucking good time, never hurt nobody
I got a little drink but it's not gonna party
If you loved your girl then I'm so, so sorry
I got to give it to her like we in a marriage
Oh, like we in a hurry
No, no I won't tell nobody
You're on your level too
Tryna do what lovers do

You ain't enough for me
Too much for you alone
Baby go and grab some bad bitches
Bring 'em home

Know the jet's on me
I'ma curve my best for you
You don't know, so pick up that dress for me
Leave the rest on

Too much convo for twenty four hours
When you stand next to twenty four karats
She left her man at home
She don't love him no more

I want your mind and your body
Don't mind nobody
So as long you never hurt nobody
Baby girl work your body
Work your body

You are unforgettable
I need to get you alone
Now you wanna choose
Just pop the bubbly in the 'cuzi

Why not?
Oh, like we in a hurry
No, no I won't tell nobody
You're on your level too
Tryna do what lovers do",Unforgettable+French Montana Featuring Swae Lee,1
